t,ecg
4.832244,549
4.832248,504
4.832255,542
4.832260,514
4.832264,510
4.832269,511
4.942191,600
4.942204,510
4.942209,568
4.942213,520
4.942218,547
4.942222,488
4.942226,563
4.942231,520
4.942235,568
4.942240,529
5.020945,569
5.020965,520
5.020971,567
5.020976,505
5.020980,580
5.020985,518
5.020989,584
5.020994,539
5.020999,604
5.021003,537
5.125949,595
5.125959,551
5.125964,575
5.125969,528
5.125973,591
5.125978,518
5.125983,619
5.125987,547
5.125991,574
5.125996,543
5.232219,575
5.232239,534
5.232244,511
5.232248,568
5.232253,611
5.232258,536
5.232280,566
5.232285,512
5.232290,587
5.232294,532
5.348477,539
5.348489,509
5.348494,599
5.348501,542
5.348505,543
5.348510,562
5.348514,599
5.348518,522
5.348523,564
5.348527,567
5.427223,561
5.427249,454
5.427254,389
5.427259,230
5.427264,418
5.427269,629
5.427273,1022
5.427277,1022
5.427282,1022
5.427287,1022
5.534722,1022
5.534755,1022
5.534760,1022
5.534765,1022
5.534770,1022
5.534774,1022
5.534779,1022
5.534783,1022
5.534788,955
5.534792,852
5.639802,803
5.639834,683
5.639840,679
5.639845,572
5.639849,538
5.639854,470
5.639859,432
5.639863,348
5.639868,381
5.639872,343
5.724653,340
5.724666,312
5.724671,312
5.724676,246
5.724680,293
5.724685,267
5.724690,309
5.724695,324
5.724699,412
5.724704,344
5.823466,411
5.823488,359
5.823493,386
5.823498,371
5.823502,375
5.823507,312
5.823511,372
5.823516,271
5.823521,339
5.823542,332
5.928488,359
5.928504,309
5.928509,322
5.928514,278
5.928519,284
5.928523,250
5.928528,328
5.928532,271
5.928537,332
5.928541,297
6.018460,324
6.018477,282
6.018482,295
6.018487,257
6.018492,358
6.018496,309
6.018500,335
6.018505,344
6.018509,422
6.018514,327
6.134706,380
6.134717,315
6.134722,360
6.134727,311
6.134731,371
6.134736,354
6.134740,415
6.134745,363
6.134749,384
6.134753,345
6.244949,415
6.244988,381
6.245008,417
6.245022,380
6.245036,490
6.245049,430
6.245062,457
6.245075,398
6.245088,497
6.245101,413
6.319870,495
6.319905,454
6.319921,455
6.319935,448
6.319948,514
6.319961,467
6.319974,489
6.319988,463
6.320001,475
6.320014,472
6.429890,480
6.429929,432
6.429944,473
6.429958,482
6.429972,515
6.429986,493
6.429999,506
6.430012,465
6.430026,513
6.430039,465
6.543655,510
6.543707,427
6.543721,391
6.543763,202
6.543778,242
6.543789,350
6.543801,526
6.543812,540
6.543824,603
6.543835,488
6.648787,552
6.648839,564
6.648854,583
6.648868,523
6.648880,599
6.648892,547
6.648904,519
6.648915,541
6.648926,540
6.648938,520
6.736106,560
6.736141,518
6.736154,532
6.736166,475
6.736178,456
6.736189,490
6.736201,547
6.736214,494
6.736226,513
6.736237,448
6.846254,497
6.846310,434
6.846326,508
6.846340,458
6.846354,509
6.846369,469
6.846383,502
6.846396,494
6.846410,524
6.846423,526
6.924860,568
6.924890,549
6.924903,527
6.924917,519
6.924929,537
6.924940,495
6.924951,547
6.924963,518
6.924973,528
6.924985,463
7.029907,547
7.029961,496
7.029976,1022
7.029990,1022
7.030005,1022
7.030018,1022
7.030031,1022
7.030044,963
7.030057,941
7.030070,862
7.142402,832
7.142435,742
7.142451,746
7.142467,632
